line_of_evidence	repository_script	current_analysis_script_or_input	standardised_output	note
Nearest-gene annotation	lines_of_evidence/nearest_gene_annotation/build_nearest_gene_evidence.R	ANNOVAR/awigen_metal_nearest_genes/create_awigen_sentinels_nearest_gene2.R	standardised_line_evidence/nearest_gene_annotation.tsv	Standardises ANNOVAR nearest-gene output for AWI-Gen sentinels.
Credible-set variant annotation	lines_of_evidence/credible_set_variant_annotation/build_credible_set_variant_annotation_evidence.R	VEP/process_awigen_vep_using_shrine_template.R	standardised_line_evidence/credible_set_variant_annotation.tsv	Standardises VEP annotations for credible-set variants with posterior probability >50%.
eQTL associations	lines_of_evidence/eqtl_associations/build_eqtl_evidence.R	eQTLGen, GTEx, SABR and African American cis-eQTL output files	standardised_line_evidence/eqtl_associations.tsv	Standardises significant eQTL sentinel-gene associations.
pQTL associations	lines_of_evidence/pqtl_associations/build_pqtl_evidence.R	UK Biobank Olink and MASC pQTL output files	standardised_line_evidence/pqtl_associations.tsv	Standardises significant pQTL sentinel-protein associations.
Rare-variant associations	lines_of_evidence/rare_variant_associations/build_rare_variant_evidence.R	rare_variant_associations/combine_single_variant_and_gene_based_rare_variant_evidence.R	standardised_line_evidence/rare_variant_associations.tsv	Standardises rare single-variant and gene-based collapsing evidence near AWI-Gen sentinels.
Mendelian respiratory-disease genes	lines_of_evidence/mendelian_respiratory_disease_genes/build_mendelian_respiratory_disease_evidence.R	rare_disease_genes/rare_disease_genes_awigen_credible_sets.R; rare_disease_genes/apply_shrine_hpo_frequency_filter_to_rare_disease_outputs.R	standardised_line_evidence/mendelian_respiratory_disease_genes.tsv	Standardises Orphanet disease-causing germline gene-disease evidence.
Mouse-knockout respiratory phenotypes	lines_of_evidence/mouse_knockout_respiratory_phenotypes/build_mouse_knockout_evidence.R	mouse_knockout/mouse_knockout_awigen_sentinels.R	standardised_line_evidence/mouse_knockout_respiratory_phenotypes.tsv	Standardises IMPC respiratory system phenotype evidence.
Functional annotation across evidence lines	functional_annotation_across_evidence_lines/build_all_source_v2g_tables.R	standardised_line_evidence/*.tsv	awigen_v2g_master_evidence_table.tsv	Builds all-source V2G master, gene, signal and evidence-presence summary tables.
